amount,timestamp,merchant,location,user_id,is_true_anomaly
420920.19,2025-02-28 18:16:00,Restoran,Tarakan,72,0
255742.53,2025-10-09 03:00:00,Toko Online,Batam,456,0
74807.23,2025-08-19 03:46:00,Toko Online,Magelang,347,0
369356.49,2025-06-28 10:10:00,Supermarket,Pangkalpinang,17,0
198498.56,2025-12-29 11:00:00,Kafe,Tomohon,191,0
252276.65,2025-05-28 10:31:00,Transportasi,Probolinggo,135,0
441303.59,2025-02-26 21:35:00,Supermarket,Tual,216,0
32612.36,2025-12-19 17:27:00,Tagihan,Bitung,66,0
341896.66,2025-10-18 01:09:00,Transportasi,Batam,34,0
91698.55,2025-01-20 11:23:00,Toko Online,Binjai,299,0
98235.07,2025-11-03 01:58:00,Kafe,Yogyakarta,116,0
449483.82,2025-02-03 22:17:00,Toko Online,Lubuklinggau,118,0
84639.97,2025-06-19 07:38:00,Tagihan,Bandar Lampung,390,0
208885.14,2025-06-29 14:16:00,Restoran,Kota Administrasi Jakarta Utara,441,0
137849.33,2025-09-16 00:43:00,Tagihan,Pematangsiantar,473,0
174697.83,2025-07-08 18:37:00,Transportasi,Makassar,299,0
79046.44,2025-04-08 15:41:00,Tagihan,Tangerang,3,0
588126.7,2025-06-08 11:25:00,Toko Online,Lhokseumawe,130,0
410892.41,2025-05-21 11:35:00,Restoran,Kota Administrasi Jakarta Pusat,365,0
88844.98,2025-05-01 09:44:00,Kafe,Surakarta,20,0
488601.73,2025-01-19 23:17:00,Toko Online,Bandung,114,0
76593.98,2025-07-22 03:43:00,Supermarket,Samarinda,224,0
523855.42,2025-01-17 08:04:00,Tagihan,Dumai,202,0
185428.77,2025-09-08 17:11:00,Toko Online,Cilegon,31,0
146055.59,2025-07-29 06:29:00,Kafe,Batam,21,0
136690.94,2025-10-27 01:48:00,Toko Online,Bogor,104,0
203039.69,2025-12-28 20:43:00,Supermarket,Parepare,437,0
382341.75,2025-06-16 20:01:00,Kafe,Kendari,69,0
326921.13,2026-01-20 12:50:00,Kafe,Banjar,336,0
444456.71,2025-01-26 19:16:00,Tagihan,Surakarta,197,0
468863.34,2025-03-18 08:49:00,Transportasi,Palopo,8,0
113538.43,2025-12-31 12:01:00,Toko Online,Jayapura,31,0
171721.05,2025-03-15 14:23:00,Toko Online,Bitung,330,0
144003.27,2025-03-15 22:39:00,Toko Online,Pekalongan,473,0
303837.66,2025-03-22 03:22:00,Toko Online,Palu,192,0
113110.84,2025-05-25 08:56:00,Transportasi,Palembang,372,0
386497.01,2025-01-07 01:52:00,Restoran,Pariaman,275,0
166489.31,2026-01-04 04:06:00,Toko Online,Cimahi,144,0
280831.69,2025-11-08 14:43:00,Toko Online,Binjai,1,0
150839.18,2025-01-05 00:30:00,Toko Online,Prabumulih,405,0
227403.41,2025-04-09 10:10:00,Toko Online,Pematangsiantar,199,0
225305.1,2025-06-12 01:39:00,Tagihan,Blitar,456,0
359629.02,2025-09-16 17:17:00,Toko Online,Banjar,92,0
235365.12,2025-03-21 15:21:00,Restoran,Tegal,382,0
282716.8,2025-11-26 08:59:00,Tagihan,Meulaboh,116,0
86548.46,2025-09-12 03:05:00,Kafe,Tasikmalaya,161,0
145095.99,2025-09-16 22:37:00,Restoran,Pekalongan,454,0
339631.93,2025-09-18 14:42:00,Kafe,Singkawang,237,0
192311.87,2025-07-12 23:13:00,Kafe,Tomohon,78,0
28367.82,2025-08-03 19:58:00,Tagihan,Bandar Lampung,142,0
154276.41,2025-12-28 00:06:00,Tagihan,Kota Administrasi Jakarta Utara,272,0
86415.14,2026-01-30 18:04:00,Kafe,Surabaya,257,0
304339.11,2026-01-24 15:43:00,Toko Online,Lubuklinggau,37,0
397302.59,2025-03-10 10:03:00,Transportasi,Tidore Kepulauan,13,0
159288.93,2025-03-17 09:56:00,Kafe,Sukabumi,102,0
317703.36,2025-11-18 19:06:00,Transportasi,Yogyakarta,464,0
257269.99,2025-01-31 04:35:00,Tagihan,Samarinda,237,0
249470.0,2025-10-30 17:28:00,Tagihan,Purwokerto,116,0
218100.78,2025-03-14 17:03:00,Tagihan,Subulussalam,403,0
490154.54,2026-01-09 11:55:00,Transportasi,Cimahi,472,0
