transaction_id,TransactionAmount,TransactionDate,MerchantID,Location,Latitude,Longitude,AccountID,CustomerAge,DeviceType,Channel,TransactionType,TransactionStatus,LoginAttempts,AccountBalance,TransactionDuration,is_weekend,is_true_anomaly
TX006252,35510.68,2025-05-15 10:48:05,M14,Pasuruan,32.8176995,-25.529651,38,28,Windows,Web,Tarik Tunai,Success,1,2388642.0957429586,65,0,0
TX004684,151338.9,2025-04-11 02:17:18,M190,Makassar,-40.402620,-150.358642,478,37,Android,MobileApp,QR Payment,Success,1,5010240.72294846,95,0,0
TX001731,34468.39,2025-02-06 13:32:58,M180,Cirebon,57.344226,-170.445877,94,33,Android,Web,QR Payment,Success,1,684198.1680151362,49,0,0
TX004742,42650.19,2025-04-12 21:15:39,M137,Tarakan,-47.5344455,35.164803,348,32,Mac,MobileApp,Tarik Tunai,Success,1,892896.5870967867,29,1,0
TX004521,39906.3,2025-04-07 16:44:21,M138,Ternate,25.6232625,-23.900799,305,66,Android,MobileApp,Debit,Success,1,3052361.6034073164,107,0,0
TX006340,14699.01,2025-05-17 13:06:21,M175,Ambon,24.720222,-134.253300,219,53,iOS,MobileApp,Kredit,Success,1,3077683.219601636,112,1,0
TX000576,34851.61,2025-01-13 10:41:23,M194,Sawahlunto,-66.113479,-11.119042,363,38,iOS,MobileApp,QR Payment,Success,1,4592900.045469632,87,0,0
TX005202,24725.31,2025-04-22 09:59:22,M148,Batu,-46.8472975,143.729242,87,27,Windows,Web,Debit,Success,1,7451086.307849421,12,0,0
TX006363,82339.27,2025-05-18 14:29:41,M8,Balikpapan,-85.067833,40.068429,158,27,iOS,Web,Kredit,Success,1,2314672.070145162,112,1,0
TX000439,29588.82,2025-01-10 11:35:44,M158,Tanjungpinang,-60.8950325,157.817556,495,22,iOS,Web,Transfer,Success,1,394740.49954405514,85,0,0
TX002750,27485.41,2025-02-28 17:01:37,M36,Tangerang Selatan,42.412095,117.837663,429,64,Mac,EDC,Tarik Tunai,Success,1,6128477.924788079,114,0,0
TX007487,60192.9,2025-06-11 18:24:44,M60,Parepare,41.573973,-165.584796,150,31,Mac,MobileApp,Debit,Success,1,1806761.43110144,89,0,0
TX005272,33485.07,2025-04-24 22:37:18,M158,Tidore Kepulauan,-1.571585,-82.526122,254,45,Windows,MobileApp,QR Payment,Success,1,1390613.9176279786,118,0,0
TX005653,51065.52,2025-05-02 10:23:35,M15,Medan,-28.0141355,26.234516,466,24,Android,MobileApp,Tarik Tunai,Success,1,311584.692153869,93,0,0
TX003999,98451.27,2025-03-27 08:41:52,M48,Tomohon,-69.278606,68.902599,294,32,iOS,MobileApp,Tarik Tunai,Success,1,1290300.8888698672,89,0,0
TX006033,24842.74,2025-05-10 12:02:54,M49,Salatiga,-19.314536,167.579900,255,64,Windows,MobileApp,Transfer,Success,1,3084002.4404751044,60,1,0
TX000582,330434.26,2025-01-13 17:36:35,M92,Pekalongan,-88.3706165,17.531870,404,41,Mac,ATM,Debit,Success,1,1005835.7277852496,50,0,0
TX009930,1598005.85,2025-07-31 04:53:00,M1059,Pekanbaru,19.6728095,117.284821,88,66,RootedDevice,Web,Kredit,Success,6,13985534.132859487,1,0,1
TX007051,10760.74,2025-06-01 21:34:06,M82,Pekanbaru,-73.8449475,163.067067,65,23,Android,Web,Tarik Tunai,Success,1,3490252.4798939973,80,1,0
TX008158,41820.21,2025-06-25 10:28:39,M131,Metro,78.3044135,-29.878623,146,18,Android,MobileApp,Transfer,Success,1,7603483.30103212,43,0,0
TX009896,726687.43,2025-07-31 03:04:24,M1083,Metro,31.1414035,-14.190947,384,67,RootedDevice,Web,Transfer,Failed,7,20024129.073181335,1,0,1
TX002249,309512.37,2025-02-18 10:21:29,M169,Pematangsiantar,-52.6676895,-130.834741,471,34,Mac,Web,QR Payment,Success,1,2650855.6128621507,110,0,0
TX004640,45223.56,2025-04-10 12:16:06,M54,Sorong,69.8525565,-160.460076,183,47,Windows,MobileApp,QR Payment,Success,1,3265218.864268409,39,0,0
TX009485,23116.28,2025-07-24 12:24:02,M34,Metro,78.3044135,-29.878623,146,18,Android,ATM,Kredit,Success,1,7622187.226500867,57,0,0
TX004947,62449.1,2025-04-17 16:53:46,M186,Pasuruan,6.530362,-161.877597,383,56,Android,MobileApp,Tarik Tunai,Success,1,19144844.41537874,106,0,0
TX009920,1095527.73,2025-07-31 00:43:15,M1033,Binjai,11.242387,-154.631659,175,23,Unknown,Web,Tarik Tunai,Failed,7,14294082.765179621,2,0,1
TX001963,35886.73,2025-02-11 15:30:38,M162,Manado,-21.860361,21.089428,474,22,Linux,MobileApp,Tarik Tunai,Success,1,4133749.8936051903,70,0,0
TX008243,24616.12,2025-06-27 08:23:24,M114,Bekasi,-7.4088415,-23.831368,415,35,Mac,MobileApp,Debit,Success,1,1279906.9325439837,115,0,0
TX006590,61570.13,2025-05-22 12:05:55,M108,Kota Administrasi Jakarta Pusat,-85.996857,127.131959,213,53,Mac,MobileApp,Tarik Tunai,Success,1,6430236.755420595,84,0,0
TX008847,617950.5,2025-07-10 17:05:31,M58,Binjai,88.7442755,-136.130288,327,33,Windows,MobileApp,Kredit,Success,1,2850499.7351360265,54,0,0
TX000321,126881.36,2025-01-07 10:18:26,M22,Pekanbaru,-63.5681195,131.905121,53,54,Windows,MobileApp,Debit,Success,1,3765679.4790906725,103,0,0
TX002678,13964.37,2025-02-27 10:10:14,M189,Balikpapan,12.1101955,136.548065,421,29,Mac,MobileApp,Debit,Success,1,4777802.397002309,35,0,0
TX004625,37345.99,2025-04-09 11:57:13,M135,Tangerang Selatan,42.412095,117.837663,429,64,Mac,MobileApp,QR Payment,Success,1,6118617.340707713,84,0,0
TX004949,26050.26,2025-04-17 19:57:34,M12,Batu,-3.196375,-9.686679,143,46,Linux,ATM,QR Payment,Success,1,5861303.668008173,66,0,0
TX008328,56367.46,2025-06-29 10:47:18,M199,Padangpanjang,88.9693915,-95.600213,293,61,Windows,MobileApp,Debit,Failed,1,1341076.8416845328,43,1,0
TX003337,35933.03,2025-03-13 04:32:26,M33,Balikpapan,19.187686,89.940852,168,29,Android,MobileApp,QR Payment,Success,1,2334573.362857259,102,0,0
TX005589,184855.29,2025-05-01 17:12:12,M60,Balikpapan,36.3460525,120.209653,136,69,Android,MobileApp,Kredit,Success,1,3117785.8771604467,90,0,0
TX000251,52284.9,2025-01-06 17:48:55,M199,Padangpanjang,-14.7912705,-100.583237,111,33,iOS,Web,Debit,Success,1,599378.9447517396,47,0,0
TX003973,97994.38,2025-03-26 10:46:26,M34,Banda Aceh,-85.717763,80.217626,175,23,Mac,MobileApp,Kredit,Success,1,14196088.382140506,34,0,0
TX006630,32467.38,2025-05-23 10:57:10,M2,Tanjungbalai,-5.773830,-94.063758,257,50,Android,MobileApp,Debit,Success,1,6925453.235533904,45,0,0
TX005547,54182.98,2025-04-30 11:05:21,M133,Tomohon,-31.857953,-143.631683,423,69,Windows,MobileApp,QR Payment,Success,1,38029639.37867574,103,0,0
TX000035,32293.65,2025-01-01 15:05:39,M98,Kota Administrasi Jakarta Pusat,39.921553,33.081701,89,52,Linux,MobileApp,QR Payment,Success,1,49600839.04283151,73,0,0
TX008362,80640.26,2025-06-30 02:28:25,M193,Lhokseumawe,45.221145,0.174803,156,62,Linux,Web,Kredit,Success,1,7293645.694147539,101,0,0
TX001513,25272.45,2025-02-02 07:52:57,M10,Bitung,29.337327,-108.115842,263,61,iOS,Web,Tarik Tunai,Success,1,3404776.008478043,118,1,0
TX009317,40794.54,2025-07-20 13:14:13,M14,Banjar,43.189942,64.387179,245,35,Android,MobileApp,Debit,Success,1,14319019.0322596,91,1,0
TX000039,31450.63,2025-01-01 06:54:30,M28,Binjai,74.488034,36.738725,196,18,Linux,EDC,Kredit,Success,1,20376982.578073088,55,0,0
TX004819,26130.87,2025-04-14 12:39:31,M71,Cimahi,11.8035065,1.743693,358,60,Android,Web,QR Payment,Success,1,3773071.7379651414,45,0,0
TX003465,35993.1,2025-03-15 20:11:17,M137,Banda Aceh,-33.6428105,10.250236,278,37,Mac,Web,Transfer,Success,1,2085099.3352045186,23,1,0
TX001760,77419.54,2025-02-07 07:53:27,M25,Serang,39.4900115,-148.776339,448,38,Android,MobileApp,Kredit,Success,1,3708175.6650244384,98,0,0
TX002304,64706.42,2025-02-19 02:12:09,M106,Palu,-72.8215355,-111.263837,410,67,Mac,MobileApp,Transfer,Success,1,13316308.190029932,104,0,0
TX003723,58895.3,2025-03-21 09:09:18,M75,Sibolga,4.310156,-97.334409,9,50,Linux,Web,Tarik Tunai,Success,1,737376.8486541818,117,0,0
TX008284,63002.92,2025-06-28 23:23:46,M134,Banjarmasin,77.941686,95.215158,45,42,Windows,MobileApp,QR Payment,Success,1,8548806.352422483,50,1,0
TX004993,40695.54,2025-04-18 04:03:55,M69,Surakarta,8.7550205,34.195034,34,23,iOS,MobileApp,Tarik Tunai,Success,1,1674230.0426921274,69,0,0
TX008127,11807.09,2025-06-25 14:20:40,M169,Bitung,30.629396,11.896710,289,36,Linux,MobileApp,Kredit,Success,1,10248096.936349256,33,0,0
TX003032,220556.88,2025-03-06 17:25:13,M108,Bau-Bau,-82.2003625,-94.844715,413,35,Windows,MobileApp,Transfer,Success,1,1717390.5990071497,100,0,0
TX007938,136352.69,2025-06-20 12:41:43,M160,Tomohon,-69.278606,68.902599,294,32,iOS,MobileApp,Kredit,Success,1,1252399.4686131529,86,0,0
TX003039,25599.46,2025-03-06 19:19:20,M109,Tegal,-52.7444145,8.074745,476,27,iOS,MobileApp,Transfer,Success,1,13823968.617633626,66,0,0
TX009655,14841.76,2025-07-27 11:52:10,M133,Pekanbaru,-26.0928095,-76.905735,224,61,iOS,EDC,QR Payment,Success,1,1118619.3922050283,41,1,0
TX002545,170449.72,2025-02-24 06:21:42,M183,Cirebon,77.2721845,-133.744430,193,28,Mac,MobileApp,Tarik Tunai,Success,1,21171194.278514933,91,0,0
TX002592,44462.97,2025-02-25 17:18:21,M5,Tanjungpinang,81.7036285,153.399138,22,40,Windows,MobileApp,Tarik Tunai,Success,1,1546986.5292444916,111,0,0
TX001188,50127.45,2025-01-26 11:30:07,M127,Pekanbaru,-59.376241,-112.485583,455,56,Windows,Web,QR Payment,Success,1,4019859.4086388443,54,1,0
TX007966,15597.99,2025-06-21 16:47:04,M33,Ambon,24.720222,-134.253300,219,53,iOS,Web,Debit,Success,1,3076784.24657442,107,1,0
TX006077,49464.55,2025-05-11 17:29:51,M36,Pontianak,11.803963,58.136854,408,59,Windows,MobileApp,Transfer,Success,1,7908078.085831996,65,1,0
TX000107,41786.7,2025-01-03 18:55:54,M24,Lhokseumawe,-23.563695,-115.150783,330,26,iOS,MobileApp,QR Payment,Success,1,1850205.7927977194,59,0,0
TX001315,34877.25,2025-01-28 22:23:51,M96,Medan,67.966508,125.444106,122,60,Mac,MobileApp,Kredit,Success,1,2304742.0054586427,112,0,0
TX008187,70744.82,2025-06-26 23:13:21,M27,Kotamobagu,26.247105,64.310177,394,69,Android,Web,Transfer,Failed,1,550225.8070381423,75,0,0
TX002753,644267.53,2025-02-28 13:54:46,M76,Kota Administrasi Jakarta Pusat,-16.695423,-133.422201,381,67,Windows,EDC,Kredit,Success,1,2325339.235812576,62,0,0
